dataset,arch,spec_key,op_code,tp,tn,fp,fn,correct,n_videos,accuracy,recall,specificity
caucafall,TCN,caucafall_tcn,OP-1,12,0,12,0,12,24,0.5,1.0,0.0
caucafall,TCN,caucafall_tcn,OP-2,12,10,2,0,22,24,0.9166666666666666,1.0,0.8333333333333334
caucafall,TCN,caucafall_tcn,OP-3,11,8,4,1,19,24,0.7916666666666666,0.9166666666666666,0.6666666666666666
caucafall,GCN,caucafall_gcn,OP-1,5,10,2,7,15,24,0.625,0.4166666666666667,0.8333333333333334
caucafall,GCN,caucafall_gcn,OP-2,5,11,1,7,16,24,0.6666666666666666,0.4166666666666667,0.9166666666666666
caucafall,GCN,caucafall_gcn,OP-3,2,12,0,10,14,24,0.5833333333333334,0.16666666666666666,1.0
le2i,TCN,le2i_tcn,OP-1,2,12,0,10,14,24,0.5833333333333334,0.16666666666666666,1.0
le2i,TCN,le2i_tcn,OP-2,1,12,0,11,13,24,0.5416666666666666,0.08333333333333333,1.0
le2i,TCN,le2i_tcn,OP-3,2,12,0,10,14,24,0.5833333333333334,0.16666666666666666,1.0
le2i,GCN,le2i_gcn,OP-1,2,12,0,10,14,24,0.5833333333333334,0.16666666666666666,1.0
le2i,GCN,le2i_gcn,OP-2,2,12,0,10,14,24,0.5833333333333334,0.16666666666666666,1.0
le2i,GCN,le2i_gcn,OP-3,2,12,0,10,14,24,0.5833333333333334,0.16666666666666666,1.0
