tag,recall,precision,f1,fa24h,n_gt,n_true,n_alert
baseline,1.0,0.5,0.6666666666666666,4704.545454545455,5,5,10
r1_augreg,1.0,0.5,0.6666666666666666,4704.545454545455,5,5,10
r1_ctrl,1.0,0.5,0.6666666666666666,4704.545454545455,5,5,10
r1_recovery,1.0,0.5,0.6666666666666666,4704.545454545455,5,5,10
r2_recallpush_a,1.0,0.5,0.6666666666666666,4704.545454545455,5,5,10
r2_recallpush_b,1.0,0.5,0.6666666666666666,4704.545454545455,5,5,10
baseline.sweep,0.0,0.0,0.0,0.0,0,0,0
r1_augreg.sweep,0.0,0.0,0.0,0.0,0,0,0
r1_ctrl.sweep,0.0,0.0,0.0,0.0,0,0,0
r1_recovery.sweep,0.0,0.0,0.0,0.0,0,0,0
r2_recallpush_a.sweep,0.0,0.0,0.0,0.0,0,0,0
r2_recallpush_b.sweep,0.0,0.0,0.0,0.0,0,0,0
