tag,tau_high,ratio,tau_low,recall,precision,f1,fa24h,tp,fp,alerts
th0360_r70,0.36,0.7,0.252,0.8888888888888888,1.0,0.9411764705882353,0.0,8,0,8
th0360_r74,0.36,0.74,0.26639999999999997,0.8888888888888888,1.0,0.9411764705882353,0.0,8,0,8
th0360_r78,0.36,0.78,0.2808,0.8888888888888888,1.0,0.9411764705882353,0.0,8,0,8
th0360_r82,0.36,0.82,0.29519999999999996,0.8888888888888888,1.0,0.9411764705882353,0.0,8,0,8
th0360_r86,0.36,0.86,0.3096,0.8888888888888888,1.0,0.9411764705882353,0.0,8,0,8
th0380_r70,0.38,0.7,0.26599999999999996,0.8888888888888888,1.0,0.9411764705882353,0.0,8,0,8
th0380_r74,0.38,0.74,0.2812,0.8888888888888888,1.0,0.9411764705882353,0.0,8,0,8
th0380_r78,0.38,0.78,0.2964,0.8888888888888888,1.0,0.9411764705882353,0.0,8,0,8
th0380_r82,0.38,0.82,0.3116,0.8888888888888888,1.0,0.9411764705882353,0.0,8,0,8
th0380_r86,0.38,0.86,0.3268,0.8888888888888888,1.0,0.9411764705882353,0.0,8,0,8
th0400_r70,0.4,0.7,0.27999999999999997,0.8888888888888888,1.0,0.9411764705882353,0.0,8,0,8
th0400_r74,0.4,0.74,0.296,0.8888888888888888,1.0,0.9411764705882353,0.0,8,0,8
th0400_r78,0.4,0.78,0.31200000000000006,0.8888888888888888,1.0,0.9411764705882353,0.0,8,0,8
th0400_r82,0.4,0.82,0.328,0.8888888888888888,1.0,0.9411764705882353,0.0,8,0,8
th0400_r86,0.4,0.86,0.34400000000000003,0.8888888888888888,1.0,0.9411764705882353,0.0,8,0,8
th0420_r70,0.42,0.7,0.294,0.8888888888888888,1.0,0.9411764705882353,0.0,8,0,8
th0420_r74,0.42,0.74,0.31079999999999997,0.8888888888888888,1.0,0.9411764705882353,0.0,8,0,8
th0420_r78,0.42,0.78,0.3276,0.8888888888888888,1.0,0.9411764705882353,0.0,8,0,8
th0420_r82,0.42,0.82,0.3444,0.8888888888888888,1.0,0.9411764705882353,0.0,8,0,8
th0420_r86,0.42,0.86,0.36119999999999997,0.8888888888888888,1.0,0.9411764705882353,0.0,8,0,8
th0440_r70,0.44,0.7,0.308,0.8888888888888888,1.0,0.9411764705882353,0.0,8,0,8
th0440_r74,0.44,0.74,0.3256,0.8888888888888888,1.0,0.9411764705882353,0.0,8,0,8
th0440_r78,0.44,0.78,0.3432,0.8888888888888888,1.0,0.9411764705882353,0.0,8,0,8
th0440_r82,0.44,0.82,0.36079999999999995,0.8888888888888888,1.0,0.9411764705882353,0.0,8,0,8
th0440_r86,0.44,0.86,0.3784,0.8888888888888888,1.0,0.9411764705882353,0.0,8,0,8
th0460_r70,0.46,0.7,0.322,0.8888888888888888,1.0,0.9411764705882353,0.0,8,0,8
th0460_r74,0.46,0.74,0.34040000000000004,0.8888888888888888,1.0,0.9411764705882353,0.0,8,0,8
th0460_r78,0.46,0.78,0.3588,0.8888888888888888,1.0,0.9411764705882353,0.0,8,0,8
th0460_r82,0.46,0.82,0.3772,0.8888888888888888,1.0,0.9411764705882353,0.0,8,0,8
th0460_r86,0.46,0.86,0.3956,0.8888888888888888,1.0,0.9411764705882353,0.0,8,0,8
th0480_r70,0.48,0.7,0.33599999999999997,0.8888888888888888,1.0,0.9411764705882353,0.0,8,0,8
th0480_r74,0.48,0.74,0.35519999999999996,0.8888888888888888,1.0,0.9411764705882353,0.0,8,0,8
th0480_r78,0.48,0.78,0.3744,0.8888888888888888,1.0,0.9411764705882353,0.0,8,0,8
th0480_r82,0.48,0.82,0.39359999999999995,0.8888888888888888,1.0,0.9411764705882353,0.0,8,0,8
th0480_r86,0.48,0.86,0.4128,0.8888888888888888,1.0,0.9411764705882353,0.0,8,0,8
th0500_r70,0.5,0.7,0.35,0.8888888888888888,1.0,0.9411764705882353,0.0,8,0,8
th0500_r74,0.5,0.74,0.37,0.8888888888888888,1.0,0.9411764705882353,0.0,8,0,8
th0500_r78,0.5,0.78,0.39,0.8888888888888888,1.0,0.9411764705882353,0.0,8,0,8
th0500_r82,0.5,0.82,0.41,0.8888888888888888,1.0,0.9411764705882353,0.0,8,0,8
th0500_r86,0.5,0.86,0.43,0.8888888888888888,1.0,0.9411764705882353,0.0,8,0,8
th0520_r70,0.52,0.7,0.364,0.8888888888888888,1.0,0.9411764705882353,0.0,8,0,8
th0520_r74,0.52,0.74,0.38480000000000003,0.8888888888888888,1.0,0.9411764705882353,0.0,8,0,8
th0520_r78,0.52,0.78,0.4056,0.8888888888888888,1.0,0.9411764705882353,0.0,8,0,8
th0520_r82,0.52,0.82,0.4264,0.8888888888888888,1.0,0.9411764705882353,0.0,8,0,8
th0520_r86,0.52,0.86,0.4472,0.8888888888888888,1.0,0.9411764705882353,0.0,8,0,8
th0540_r70,0.54,0.7,0.378,0.8888888888888888,1.0,0.9411764705882353,0.0,8,0,8
th0540_r74,0.54,0.74,0.3996,0.8888888888888888,1.0,0.9411764705882353,0.0,8,0,8
th0540_r78,0.54,0.78,0.4212,0.8888888888888888,1.0,0.9411764705882353,0.0,8,0,8
th0540_r82,0.54,0.82,0.4428,0.8888888888888888,1.0,0.9411764705882353,0.0,8,0,8
th0540_r86,0.54,0.86,0.46440000000000003,0.8888888888888888,1.0,0.9411764705882353,0.0,8,0,8
