tag,tau_high,ratio,tau_low,recall,precision,f1,fa24h,tp,fp
th0440_r70,0.44,0.7,0.308,0.8888888888888888,1.0,0.9411764705882353,0.0,8,0
th0440_r74,0.44,0.74,0.3256,0.8888888888888888,1.0,0.9411764705882353,0.0,8,0
th0460_r70,0.46,0.7,0.322,0.8888888888888888,1.0,0.9411764705882353,0.0,8,0
th0460_r74,0.46,0.74,0.34040000000000004,0.8888888888888888,1.0,0.9411764705882353,0.0,8,0
th0480_r70,0.48,0.7,0.33599999999999997,0.8888888888888888,1.0,0.9411764705882353,0.0,8,0
th0480_r74,0.48,0.74,0.35519999999999996,0.8888888888888888,1.0,0.9411764705882353,0.0,8,0
th0500_r70,0.5,0.7,0.35,0.8888888888888888,1.0,0.9411764705882353,0.0,8,0
th0500_r74,0.5,0.74,0.37,0.8888888888888888,1.0,0.9411764705882353,0.0,8,0
th0520_r70,0.52,0.7,0.364,0.8888888888888888,1.0,0.9411764705882353,0.0,8,0
th0520_r74,0.52,0.74,0.38480000000000003,0.8888888888888888,1.0,0.9411764705882353,0.0,8,0
th0540_r70,0.54,0.7,0.378,0.8888888888888888,1.0,0.9411764705882353,0.0,8,0
th0540_r74,0.54,0.74,0.3996,0.8888888888888888,1.0,0.9411764705882353,0.0,8,0
