tag,val_recall,val_precision,val_f1,val_fa24h,test_recall,test_precision,test_f1,test_fa24h
cs60_ly15_req0,0.7,1.0,0.8235294117647058,0.0,0.7777777777777778,1.0,0.8750000000000001,0.0
cs60_ly30_req0,0.7,1.0,0.8235294117647058,0.0,0.6666666666666666,1.0,0.8,0.0
cs60_ly45_req0,0.7,1.0,0.8235294117647058,0.0,0.5555555555555556,1.0,0.7142857142857143,0.0
cs20_ly15_req0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cs20_ly30_req0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cs20_ly45_req0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cs40_ly15_req0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cs40_ly30_req0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cs40_ly45_req0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cs20_ly15_req1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cs20_ly30_req1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cs20_ly45_req1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cs40_ly15_req1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cs40_ly30_req1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cs40_ly45_req1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cs60_ly15_req1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cs60_ly30_req1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cs60_ly45_req1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
